Código Soporte;Código Elemento;Empresa;Nombre Comercial Tecnología;Dirección;Localidad;Comuna;Región;Tipo Documento Autorizatorio;Nro. Documento;Fecha Documento;Tipo Soporte;Altura;Frecuencia;Banda;Ancho Banda;Tecnología;Tipo Acceso;Latitud;Longitud;x;y
"16.971";"49.487";MOVISTAR MOVIL;2G;Calle Roca N° 953;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;337;04/06/2013;Monoposte;"30";"1900";UHF;20000;GSM(2G);TDMA;53° 9´ 52´´;70° 54´ 20´´;"-70,906";"-53,164"
"19.672";"424.438";ENTEL PCS;2G;Estancia Los Tehuelches;;Porvenir;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;801;31/12/2013;Torre Ventada;"64";"1900";UHF;60000;GSM(2G);TDMA;53° 4´ 22´´;69° 20´ 43´´;"-69,345";"-53,073"
"11.420";"440.783";Claro Serv. Empresariales;4G;Ruta 9 Punta Arenas - Puerto Natales s/n, Sector Las Nieves, Estancia Tres Hermanas;;Laguna Blanca;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;78;30/05/2013;Torre Ventada;"48";"2600";UHF;40000;LTE(4G);FDD;52° 22´ 34.29012´´;71° 28´ 56.30016´´;"-71,482";"-52,376"
"21.432";"529.005";CLARO CHILE SPA.;3G;Sector Fuerte Bulnes, Fundo Los Sauces;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;171;21/04/2016;Torre Auto Soportada;"30";"850";UHF;;UMTS(3G);WCDMA;53° 35´ 21.1´´;70° 56´ 50.6´´;"-70,947";"-53,589"
"11.437";"530.185";Claro Serv. Empresariales;4G;Prolongación General del Canto. Parcela N° 4. Sector Mirador Sur;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;65;21/04/2015;Torre Auto Soportada;"30";"700";UHF;20000;LTE(4G);FDD;53° 8´ 33.6012´´;70° 57´ 23.000400000000003´´;"-70,956";"-53,143"
"19.801";"559.269";CLARO CHILE SPA.;2G;Presidente Eduardo Frei Montalva N°01110;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1788;04/09/2017;Azotea;"20";"850";UHF;25000;GSM(2G);TDMA;53° 7´ 52´´;70° 54´ 33´´;"-70,909";"-53,131"
"11.415";"586.270";Claro Serv. Empresariales;4G;Ruta 9, Km 25, Sector Cabo Negro S/N;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1447;24/08/2020;Torre Auto Soportada;"48";"700";UHF;20000;LTE(4G);FDD;52° 57´ 11.30004´´;70° 50´ 24´´;"-70,84";"-52,953"
"20.989";"599.445";CLARO CHILE SPA.;;Los Flamencos,  Parcela 8  S/N;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1490;02/08/2021;Monoposte;"18";"2600";UHF;40000;LTE(4G);FDD;53° 7´ 40.4´´;70° 53´ 23´´;"-70,89";"-53,128"
"28.140";"610.140";CLARO CHILE SPA.;;Manuel Rodríguez 3077;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;2107;07/07/2022;Monoposte;"18";"2600";UHF;40000;LTE(4G);FDD;53° 10´ 45.4´´;70° 56´ 8.5´´;"-70,936";"-53,179"
"18.598";"625.415";Wom;5G;Camino Dorotea Km 3, S/N, Natales, Magallanes y La Antártica Chilena;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;19;09/03/2021;Torre Auto Soportada;"25";"700";UHF;20000;LTE Advanced Pro(5G);OFDMA;51° 42´ 52.6´´;72° 28´ 48.2´´;"-72,48";"-51,715"
"21.206";"626.615";Wom;5G;Parcela n° 10B Calle prolongación General Estanislao del Canto, Punta Arenas, Magallanes Y La Antártica Chilena;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;32;11/03/2021;Monoposte;"26";"2100";UHF;30000;LTE Advanced Pro(5G);OFDMA;53° 8´ 35.7´´;70° 55´ 45.800000000000004´´;"-70,929";"-53,143"
"27.358";"626.622";Wom;5G;Pedro Aguirre Cerda N° 413, Punta Arenas, Magallanes Y La Antártica Chilena;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;32;11/03/2021;Azotea;"3";"2100";UHF;30000;LTE Advanced Pro(5G);OFDMA;53° 10´ 19.19´´;70° 56´ 38.7´´;"-70,944";"-53,172"
"33.947";"626.623";Wom;5G;Ruta 255, Punta delgada, San Gregorio, Magallanes Y La Antártica Chilena;;San Gregorio;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;32;11/03/2021;Torre Auto Soportada;"60";"2100";UHF;30000;LTE Advanced Pro(5G);OFDMA;52° 18´ 51.42´´;69° 41´ 38.81´´;"-69,694";"-52,314"
"14.957";"628.917";ENTEL TELEFONIA LOCAL S.A.;5G;VIA TRES S/N MANZANA G PUERTO WILLIAMS, COMUNA DE CABO DE HORNOS, REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;;CABO DE HORNOS;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;76;24/05/2021;Torre Ventada;"48";"3500";SHF;50000;5G(5G);OFDMA;54° 56´ 17´´;67° 36´ 34´´;"-67,609";"-54,938"
"32.106";"628.920";ENTEL TELEFONIA LOCAL S.A.;5G;EDIFICIO INTENDENCIA XII REGION, COMUNA DE PUNTA ARENAS, REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;76;24/05/2021;Azotea;"40";"3500";SHF;50000;5G(5G);OFDMA;53° 9´ 40.5´´;70° 54´ 25.400000000000002´´;"-70,907";"-53,161"
"18.595";"628.921";ENTEL TELEFONIA LOCAL S.A.;5G;PTE. JULIO ROCA 953, COMUNA DE PUNTA ARENAS, REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;76;24/05/2021;Monoposte;"28,5";"3500";SHF;50000;5G(5G);OFDMA;53° 9´ 53´´;70° 54´ 20´´;"-70,906";"-53,165"
"14.914";"628.996";ENTEL TELEFONIA LOCAL S.A.;5G;SECTOR RIO LOS CIERVOS PUNTA ARENAS, COMUNA DE PUNTA ARENAS, REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;76;24/05/2021;Torre Ventada;"60";"3500";SHF;50000;5G(5G);OFDMA;53° 11´ 37´´;70° 56´ 45´´;"-70,946";"-53,194"
"16.971";"630.115";Wom;5G;Pdte. Julio Roca N° 953, Punta Arenas, Magallanes Y La Antártica Chilena;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;78;24/05/2021;Monoposte;"30";"3500";SHF;50000;5G(5G);OFDMA;53° 9´ 52´´;70° 54´ 20´´;"-70,906";"-53,164"
"17.004";"630.116";Wom;5G;Av. Presidente Eduardo Frei Montalva N° 0983, Punta Arenas, Magallanes Y La Antártica Chilena;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;78;24/05/2021;Torre Auto Soportada;"30";"3500";SHF;50000;5G(5G);OFDMA;53° 7´ 58´´;70° 54´ 32´´;"-70,909";"-53,133"
"17.031";"630.156";Wom;5G;Calle General del Canto, esq Sargento Aldea, Punta Arenas, Magallanes Y La Antártica Chilena;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;78;24/05/2021;Torre Auto Soportada;"30";"3500";SHF;50000;5G(5G);OFDMA;53° 8´ 56´´;70° 54´ 54´´;"-70,915";"-53,149"
"14.965";"633.226";WILL;3G/5G;"Esmeralda
N°1096,  esquina
Balmaceda";;Natales;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;526;01/03/2022;Torre Auto Soportada;"24";"700";UHF;15000;UMTS(3G)/LTE Advanced Pro(5G);OFDMA;51° 43´ 35´´;72° 29´ 38´´;"-72,494";"-51,726"
"31.400";"637.140";WILL;4G;"Parcela San
Sebastián, Lote
39, Sector Ojo
Bueno";;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1562;19/05/2022;Torre Ventada;"60";"2600";UHF;20000;LTE(4G);FDD;53° 2´ 13´´;70° 53´ 39´´;"-70,894";"-53,037"
"21.980";"637.530";TELEFÓNICA MÓVILES CHILE S.A.;4G;RUTA Y-85 KM 81 HACIENDA CAMERON, TIMAUKEL ISLA GRANDE, TIERRA DEL FUEGO;;Timaukel;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1567;19/05/2022;Torre Auto Soportada;"60";"700";UHF;10000;LTE(4G);OFDMA;53° 43´ 51´´;69° 13´ 41´´;"-69,228";"-53,731"
"31.741";"641.755";WILL;4G;Silva Enríquez altura del 01895;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1990;24/06/2022;Poste de Concreto;"12";"2600";UHF;40000;LTE(4G);OFDMA;53° 7´ 42.7´´;70° 55´ 2.8000000000000003´´;"-70,917";"-53,129"
"14.923";"682.187";TELEFÓNICA MÓVILES CHILE S.A.;4G;CORONEL JOSE DE LOS SANTOS MARDONES N° 1695;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1322;06/08/2025;Torre Auto Soportada;"30";"700";UHF;20000;LTE(4G);OFDMA;53° 8´ 5´´;70° 55´ 24´´;"-70,923";"-53,135"
"14.932";"682.634";TELEFÓNICA MÓVILES CHILE S.A.;4G;KM 8,5 RUTA 9 NORTE N° 09606;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1451;18/08/2025;Torre Ventada;"60";"2600";UHF;40000;LTE(4G);OFDMA;53° 5´ 16´´;70° 52´ 58´´;"-70,883";"-53,088"
"14.948";"7831";ENTEL PCS;2G;ESTANCIA TRES HERMANAS, SECTOR VILLA TEHUELCHES;;Laguna Blanca;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;540;14/08/2017;Torre Ventada;"36";"1900";UHF;30000;GSM(2G);TDMA;52° 22´ 35´´;71° 28´ 56´´;"-71,482";"-52,376"
