Código Soporte;Código Elemento;Empresa;Nombre Comercial Tecnología;Dirección;Localidad;Comuna;Región;Tipo Documento Autorizatorio;Nro. Documento;Fecha Documento;Tipo Soporte;Altura;Frecuencia;Banda;Ancho Banda;Tecnología;Tipo Acceso;Latitud;Longitud;x;y
"19.890";"654.154";TELEFÓNICA MÓVILES CHILE S.A.;4G;CAMPO CHILLANEJA DEL LOTE 60 DE LA SUBDIVISION SPRINGHILL;;Primavera;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;488;14/03/2023;Torre Ventada;"30";"700";SHF;20000;LTE(4G);OFDMA;52° 54´ 43´´;69° 19´ 22´´;"-69,323";"-52,912"
"19.672";"654.155";TELEFÓNICA MÓVILES CHILE S.A.;4G;CALLE SIN NÚMERO A 32 KM DE CERRO SOMBRERO;;Porvenir;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;484;14/03/2023;Torre Ventada;"64";"700";SHF;20000;LTE(4G);OFDMA;53° 4´ 22´´;69° 20´ 43´´;"-69,345";"-53,073"
"33.022";"662.000";WILL;4G;Ruta 9 Aeropuerto Julio Gallardo;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;863;03/11/2023;Torre Auto Soportada;"24";"2600";UHF;20000;LTE(4G);WCDMA;51° 39´ 59.88´´;72° 31´ 40.09´´;"-72,528";"-51,667"
"20.909";"680.736";CLARO CHILE SPA.;5G;km 23 ruta Y-300 Lote 3;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;214;26/11/2024;Torre Ventada;"15";"3500";SHF;50000;5G(5G);;51° 36´ 32.4´´;72° 39´ 15.200000000000001´´;"-72,654";"-51,609"
"11.429";"681.047";CLARO CHILE SPA.;5G;Avenida Colón N°1290;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;214;26/11/2024;Azotea;"30";"3500";SHF;50000;5G(5G);;53° 9´ 47.09016´´;70° 53´ 46.38984´´;"-70,896";"-53,163"
"11.410";"681.255";CLARO CHILE SPA.;5G;Patagona N° 825;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;214;26/11/2024;Torre Auto Soportada;"34";"3500";SHF;50000;5G(5G);;53° 9´ 24.500159999999997´´;70° 54´ 57.30012´´;"-70,916";"-53,157"
"28.978";"682.190";TELEFÓNICA MÓVILES CHILE S.A.;4G;Parcela  1 LT 1 A 1 A 4 Colonia Isabel Riquelme (A 150 mts de la intersección de calle Piloto Pardo con Avda. Alfredo Lorca Valencia, en dirección Sur);;Natales;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1285;31/07/2025;Monoposte;"1";"2600";UHF;20000;LTE(4G);OFDMA;51° 44´ 34.83´´;72° 29´ 17.22´´;"-72,488";"-51,743"
"17.749";"683.388";TELEFÓNICA MÓVILES CHILE S.A.;4G;CERRO DOROTEA S/N (Cerro Dorotea, desde intersección de Ruta 9 con Ruta Y-315, 2,8 Km en dirección Norte);;Natales;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1660;15/09/2025;Torre Auto Soportada;"18";"700";UHF;20000;LTE(4G);OFDMA;51° 40´ 46´´;72° 29´ 28´´;"-72,491";"-51,679"
"20.379";"11.820";MOVISTAR MOVIL;2G;Predio Miramar s/n, sector Santa María. Provincia Tierra del Fuego;;Porvenir;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;89;22/02/2006;Torre Auto Soportada;"60";"1900";UHF;10000;GSM(2G);TDMA;53° 18´ 36.9´´;70° 22´ 37.95´´;"-70,377";"-53,31"
"17.493";"11.822";MOVISTAR MOVIL;2G;Cerro Mirador s/n, Club Andino;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;89;22/02/2006;Torre Auto Soportada;"42";"1900";UHF;10000;GSM(2G);TDMA;53° 9´ 26´´;71° 2´ 40´´;"-71,044";"-53,157"
"11.413";"440.785";Claro Serv. Empresariales;4G;Parcela A s/n;;Porvenir;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;78;30/05/2013;Torre Auto Soportada;"60";"2600";UHF;40000;LTE(4G);FDD;53° 18´ 36.69012´´;70° 22´ 40.28988´´;"-70,378";"-53,31"
"11.436";"440.786";Claro Serv. Empresariales;4G;Prolongación Calle Mardones s/n, Parcela 110, Sector Pampa Redonda;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;78;30/05/2013;Torre Auto Soportada;"36";"2600";UHF;40000;LTE(4G);FDD;53° 7´ 4.100016´´;70° 56´ 36.9´´;"-70,944";"-53,118"
"11.435";"450.976";Claro Serv. Empresariales;4G;Rómulo Correa;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;3062;12/08/2013;Monoposte;"24";"2600";UHF;40000;LTE(4G);FDD;53° 9´ 19.64988´´;70° 53´ 29.289839999999998´´;"-70,891";"-53,155"
"14.959";"456.640";WILL;4G;Predio Miramar s/n, Sector Santa María;;Porvenir;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;177;09/11/2012;Torre Ventada;"60";"2600";UHF;40000;LTE(4G);FDD;53° 18´ 37.6´´;70° 22´ 40.9´´;"-70,378";"-53,31"
"19.653";"491.473";CLARO CHILE SPA.;4G;Avenida O'Higgins 987;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;516;28/07/2014;Cielo Raso;"3";"2600";UHF;40000;LTE(4G);FDD;53° 9´ 49.01´´;70° 54´ 13.620000000000001´´;"-70,904";"-53,164"
"11.433";"530.184";Claro Serv. Empresariales;4G;Puerto Harris;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;65;21/04/2015;Torre Auto Soportada;"18";"700";UHF;20000;LTE(4G);FDD;53° 52´ 7.399991999999999´´;70° 25´ 27.3´´;"-70,424";"-53,869"
"14.961";"530.874";MOVISTAR MOVIL;4G;Cerro Sombrero;;Primavera;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;72;09/02/2018;Torre Ventada;"42";"700";UHF;20000;LTE(4G);FDD;52° 46´ 29´´;69° 17´ 27´´;"-69,291";"-52,775"
"17.631";"580.988";WILL;4G;MARTINEZ DE ALDUNATE N°1471 8va CIA BOMBEROS;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1016;30/05/2018;Torre Auto Soportada;"36";"2600";UHF;40000;LTE(4G);WCDMA;53° 9´ 34´´;70° 55´ 55´´;"-70,932";"-53,159"
"24.338";"581.400";Claro Serv. Empresariales;4G;Camino a Fuerte Bulnes, Km. 4.5. Hijuela 31 A;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1174;11/06/2018;Torre Auto Soportada;"60";"700";UHF;20000;LTE(4G);FDD;53° 11´ 37´´;70° 56´ 44´´;"-70,946";"-53,194"
"11.416";"586.659";Claro Serv. Empresariales;4G;Cerro Mirador S/N;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;244;03/02/2020;Torre Auto Soportada;"42";"700";UHF;20000;LTE(4G);FDD;53° 9´ 24.990119999999997´´;71° 2´ 27.39012´´;"-71,041";"-53,157"
"14.957";"613.751";WILL;4G;Calle Vía Dos s/n, (Capdeville), Puerto Williams;;CABO DE HORNOS;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;2053;02/11/2020;Torre Ventada;"48";"700";UHF;40000;LTE(4G);FDD;54° 56´ 17´´;67° 36´ 34´´;"-67,609";"-54,938"
"14.917";"618.294";WILL;4G;Av.Bulnes N°04800;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1686;31/08/2021;Monoposte;"36";"700";UHF;40000;LTE(4G);FDD;53° 7´ 33´´;70° 52´ 10´´;"-70,869";"-53,126"
"19.920";"628.600";ENTEL TELEFONIA LOCAL S.A.;5G;LOTE 1 RIO TRANQUILO, COMUNA DE NATALES, REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;76;24/05/2021;Monoposte;"0";"3500";SHF;50000;5G(5G);OFDMA;51° 47´ 50.99´´;72° 11´ 44´´;"-72,196";"-51,797"
"21.206";"630.154";Wom;5G;Parcela n° 10B Calle prolongación General Estanislao del Canto, Punta Arenas, Magallanes Y La Antártica Chilena;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;78;24/05/2021;Monoposte;"26";"3500";SHF;50000;5G(5G);OFDMA;53° 8´ 35.7´´;70° 55´ 45.800000000000004´´;"-70,929";"-53,143"
"14.914";"633.227";WILL;3G/5G;"Km  4,5  Sur  Río
Los Ciervos";;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;526;01/03/2022;Torre Ventada;"60";"700";UHF;15000;UMTS(3G)/LTE Advanced Pro(5G);OFDMA;53° 11´ 37´´;70° 56´ 45´´;"-70,946";"-53,194"
"14.911";"633.228";WILL;3G/5G;Avenida   España s/n;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;526;01/03/2022;Torre Auto Soportada;"36";"700";UHF;15000;UMTS(3G)/LTE Advanced Pro(5G);OFDMA;53° 8´ 16´´;70° 53´ 19´´;"-70,889";"-53,138"
"20.205";"633.229";WILL;3G/5G;"José   Menendez
N° 131";;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;526;01/03/2022;Torre Auto Soportada;"21";"700";UHF;15000;UMTS(3G)/LTE Advanced Pro(5G);OFDMA;53° 9´ 30.830000000000002´´;70° 54´ 50.67´´;"-70,914";"-53,159"
"14.914";"634.571";WILL;4G;Km 4,5 Sur Rio Los Ciervos;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;745;18/03/2022;Torre Ventada;"60";"2600";UHF;40000;LTE(4G);OFDMA;53° 11´ 37´´;70° 56´ 45´´;"-70,946";"-53,194"
"29.478";"637.849";TELEFÓNICA MÓVILES CHILE S.A.;4G;LOS FLAMENCOS ESQUINA EDUARDO FREI MONTALVA;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1669;27/05/2022;Azotea;"0";"2600";UHF;20000;LTE(4G);OFDMA;53° 7´ 19.5´´;70° 53´ 45.4´´;"-70,896";"-53,122"
"19.890";"653.696";TELEFÓNICA MÓVILES CHILE S.A.;5G;ESTANCIA CHILLANEJA RUTA CERRO SOMBRERO ONAISI;;Primavera;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;420;03/03/2023;Torre Ventada;"30";"3500";UHF;50000;5G(5G);OFDMA;52° 54´ 43´´;69° 19´ 22´´;"-69,323";"-52,912"
"32.549";"656.993";TELEFÓNICA MÓVILES CHILE S.A.;4G;Lote Fiscal N° 7 (Calle S/N a 3 Kms del paso fronterizo San Sebastian);;Porvenir;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1240;02/06/2023;Torre Ventada;"42";"700";UHF;20000;LTE(4G);OFDMA;53° 19´ 21´´;68° 39´ 38´´;"-68,661";"-53,322"
"24.743";"680.640";CLARO CHILE SPA.;5G;Armando Sanhueza N° 114;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;214;26/11/2024;Torre Auto Soportada;"30";"3500";SHF;50000;5G(5G);;53° 9´ 8.2´´;70° 54´ 10.8´´;"-70,903";"-53,152"
"11.427";"681.522";CLARO CHILE SPA.;5G;Camino a Fuerte Bulnes, Km. 4.5. Hijuela 31 A;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;214;26/11/2024;Torre Auto Soportada;"60";"3500";SHF;50000;5G(5G);;53° 11´ 38.600016´´;70° 56´ 46.4´´;"-70,946";"-53,194"
"14.961";"11.818";MOVISTAR MOVIL;2G;"Ruta 257 Km 211,5; Sitio 11 - Manzana H. Cerro Sombrero";;Primavera;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;89;22/02/2006;Torre Ventada;"42";"1900";UHF;10000;GSM(2G);TDMA;52° 46´ 29´´;69° 17´ 27´´;"-69,291";"-52,775"
"18.004";"32.048";MOVISTAR MOVIL;2G;Estancia Las Charas;;Río Verde;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;971;18/10/2007;Torre Auto Soportada;"54";"1900";UHF;20000;GSM(2G);TDMA;52° 38´ 52´´;71° 27´ 28´´;"-71,458";"-52,648"
"32.549";"424.435";ENTEL PCS;2G;Lote Fiscal N°7;;Porvenir;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;801;31/12/2013;Torre Ventada;"42";"1900";UHF;60000;GSM(2G);TDMA;53° 19´ 21´´;68° 39´ 38´´;"-68,661";"-53,322"
"11.417";"440.788";Claro Serv. Empresariales;4G;Ruta CH-255, Km 105, s/n;;San Gregorio;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;78;30/05/2013;Torre Auto Soportada;"36";"2600";UHF;40000;LTE(4G);FDD;52° 22´ 57´´;69° 45´ 15.289919999999999´´;"-69,754";"-52,382"
"11.412";"470.492";Claro Serv. Empresariales;4G;Hijuela Chacabunco,;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;4131;25/10/2013;Torre Auto Soportada;"33";"2600";UHF;40000;LTE(4G);FDD;53° 0´ 36.20016´´;70° 49´ 24.30012´´;"-70,823";"-53,01"
"26.281";"516.322";MOVISTAR MOVIL;3G;App 3 kms al sureste de San Gregorio.;;San Gregorio;Región de Magallanes y de la Antártica Chilena;RES. NOTIFICADA;2543;18/03/2015;Torre Ventada;"1";"850";UHF;25000;UMTS(3G);WCDMA;52° 33´ 38.300000000000004´´;70° 20´ 53´´;"-70,348";"-52,561"
"18.004";"530.882";MOVISTAR MOVIL;4G;Estancia Las Charas;;Río Verde;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;71;06/05/2015;Torre Auto Soportada;"54";"700";UHF;20000;LTE(4G);FDD;52° 38´ 52´´;71° 27´ 28´´;"-71,458";"-52,648"
"23.811";"581.820";CLARO CHILE SPA.;4G;Ignacio Carrera Pinto N°0760;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1096;04/06/2018;Torre Auto Soportada;"30";"2600";UHF;40000;LTE(4G);FDD;53° 9´ 2´´;70° 56´ 7´´;"-70,935";"-53,151"
"11.419";"586.271";Claro Serv. Empresariales;4G;Sitio 27,  Manzana A S/N;;Primavera;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1447;24/08/2020;Torre Auto Soportada;"60";"700";UHF;20000;LTE(4G);FDD;52° 46´ 35.69016´´;69° 17´ 42´´;"-69,295";"-52,777"
"11.418";"586.660";Claro Serv. Empresariales;4G;Boliviana N°738;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;244;03/02/2020;Monoposte;"30";"700";UHF;20000;LTE(4G);FDD;53° 9´ 59.78988´´;70° 54´ 44.88984´´;"-70,912";"-53,167"
"28.976";"615.037";TELEFÓNICA MÓVILES CHILE S.A.;4G;DEL ARRIERO 05872;;Primavera;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;291;10/02/2023;Monoposte;"18";"2600";UHF;40000;LTE(4G);FDD;53° 7´ 14.5´´;70° 52´ 42.4´´;"-70,878";"-53,121"
"18.599";"625.416";Wom;5G;Cerro Mirador, Punta Arenas, Magallanes y La Antártica Chilena;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;19;09/03/2021;Torre Ventada;"35";"700";UHF;20000;LTE Advanced Pro(5G);OFDMA;53° 9´ 25.900000000000002´´;71° 2´ 39.4´´;"-71,044";"-53,157"
"11.412";"626.612";Wom;;Ruta 9 Norte S/N, Sector Aeropuerto;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;774;26/09/2022;Torre Auto Soportada;"33";"2100";UHF;30000;LTE Advanced Pro(5G);OFDMA;53° 0´ 36.20016´´;70° 49´ 24.30012´´;"-70,823";"-53,01"
"14.913";"628.141";ENTEL TELEFONIA LOCAL S.A.;5G;INTERIOR BASE AREA FACH S E 570 P.ARENAS, COMUNA DE PUNTA ARENAS, REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;76;24/05/2021;Torre Ventada;"30";"3500";SHF;50000;5G(5G);OFDMA;53° 0´ 37´´;70° 49´ 34´´;"-70,826";"-53,01"
"14.931";"628.294";ENTEL TELEFONIA LOCAL S.A.;5G;LOS FLAMENCOS 0845 BARRIO HORTICOLA, COMUNA DE PUNTA ARENAS, REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;76;24/05/2021;Torre Ventada;"36";"3500";SHF;50000;5G(5G);OFDMA;53° 7´ 18´´;70° 54´ 22´´;"-70,906";"-53,122"
"22.189";"636.074";TELEFÓNICA MÓVILES CHILE S.A.;4G;ESTANCIA EDUARDO PARCELA 29;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1270;22/04/2022;Torre Ventada;"54";"700";UHF;10000;LTE(4G);OFDMA;52° 47´ 7.58´´;71° 11´ 2.47´´;"-71,184";"-52,785"
"20.347";"637.049";WILL;4G;"Damián
Riobó N° 164";;Porvenir;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1494;13/05/2022;Torre Auto Soportada;"22";"2600";UHF;20000;LTE(4G);FDD;53° 17´ 59.9´´;70° 21´ 56´´;"-70,366";"-53,3"
"11.413";"681.227";CLARO CHILE SPA.;5G;Parcela A s/n;;Porvenir;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;214;26/11/2024;Torre Auto Soportada;"60";"3500";SHF;50000;5G(5G);;53° 18´ 36.69012´´;70° 22´ 40.28988´´;"-70,378";"-53,31"
"11.418";"681.234";CLARO CHILE SPA.;5G;Boliviana Nº 738;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;214;26/11/2024;Monoposte;"30";"3500";SHF;50000;5G(5G);;53° 9´ 59.78988´´;70° 54´ 44.88984´´;"-70,912";"-53,167"
"27.006";"681.327";CLARO CHILE SPA.;5G;Ruta Y-340, Sector Río Primero S/N;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;214;26/11/2024;Torre Auto Soportada;"30";"3500";SHF;50000;5G(5G);;52° 12´ 32.5´´;72° 28´ 36.6´´;"-72,477";"-52,209"
"17.031";"6909";MOVISTAR MOVIL;2G;General del Canto N° 0299, esq. Sgto. Aldea;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;319;04/08/2005;Torre Auto Soportada;"30";"1900";UHF;10000;GSM(2G);TDMA;53° 8´ 56´´;70° 54´ 54´´;"-70,915";"-53,149"
"17.749";"11.821";MOVISTAR MOVIL;2G;Cerro Dorotea s/n;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;89;22/02/2006;Torre Auto Soportada;"18";"1900";UHF;10000;GSM(2G);TDMA;51° 40´ 46´´;72° 29´ 28´´;"-72,491";"-51,679"
"30.975";"57.688";ENTEL PCS;;JORGE ALESSANDRI Nº 076;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;262;21/02/2011;Sin Info;"0";"1900";UHF;60000;GSM;TDMA;53° 10´ 41´´;70° 56´ 31´´;"-70,942";"-53,178"
"19.920";"58.526";ENTEL PCS;2G;LOTE 1 TRANQUILO ESTANCUA LOS BAQUEANO;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;985;01/07/2011;Monoposte;"0";"1900";UHF;60000;GSM(2G);TDMA;51° 47´ 50.99´´;72° 11´ 44´´;"-72,196";"-51,797"
"19.890";"424.439";ENTEL PCS;2G;Campo Chillaneja del Loteo 60 de La Subdivisión Springhill;;Primavera;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;801;31/12/2013;Torre Ventada;"30";"1900";UHF;60000;GSM(2G);TDMA;52° 54´ 43´´;69° 19´ 22´´;"-69,323";"-52,912"
"19.668";"490.389";ENTEL PCS;2G/3G;CORONEL JOSE DE LOS SANTOS MARDONES  0495;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;397;12/06/2014;Monoposte;"15";"1900";UHF;60000;GSM(2G)/UMTS(3G);TDMA/WCDMA;53° 8´ 31.7´´;70° 54´ 27.900000000000002´´;"-70,908";"-53,142"
"11.413";"530.181";Claro Serv. Empresariales;4G;Parcela A s/n;;Porvenir;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;65;21/04/2015;Torre Auto Soportada;"60";"700";UHF;20000;LTE(4G);FDD;53° 18´ 36.69012´´;70° 22´ 40.28988´´;"-70,378";"-53,31"
"11.420";"530.182";Claro Serv. Empresariales;4G;Ruta 9 Punta Arenas - Puerto Natales s/n. Sector Las Nieves. Estancia Tres Hermanas;;Laguna Blanca;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;65;21/04/2015;Torre Ventada;"48";"700";UHF;20000;LTE(4G);FDD;52° 22´ 34.29012´´;71° 28´ 56.30016´´;"-71,482";"-52,376"
"22.670";"530.876";MOVISTAR MOVIL;4G;O’Higgins N° 1247;;Natales;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;71;06/05/2015;Torre Auto Soportada;"42";"700";UHF;20000;LTE(4G);FDD;51° 43´ 41.37´´;72° 29´ 27.330000000000002´´;"-72,491";"-51,728"
"17.582";"530.877";MOVISTAR MOVIL;4G;Ruta 9 Norte Km 13.5 Parcela 36;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;71;06/05/2015;Torre Auto Soportada;"30";"700";UHF;20000;LTE(4G);FDD;53° 3´ 11´´;70° 53´ 41´´;"-70,895";"-53,053"
"18.323";"530.884";MOVISTAR MOVIL;4G;Ruta 9 Km 100;;Laguna Blanca;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;72;09/02/2018;Torre Auto Soportada;"36";"700";UHF;20000;LTE(4G);FDD;52° 22´ 36.43´´;71° 28´ 57.9´´;"-71,483";"-52,377"
"21.206";"550.737";Wom;4G/3G;Parcela n° 10B Calle prolongación general estanislao del Canto;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1213;11/06/2019;Monoposte;"26";"2100";UHF;60000;UMTS(3G)/LTE(4G);FDD;53° 8´ 35.7´´;70° 55´ 45.800000000000004´´;"-70,929";"-53,143"
"11.413";"570.322";CLARO CHILE SPA.;3G;Predio Mirador Santa María;;Porvenir;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;2433;13/12/2017;Torre Auto Soportada;"60";"1900";UHF;30000;UMTS(3G);WCDMA;53° 18´ 36.69012´´;70° 22´ 40.28988´´;"-70,378";"-53,31"
"14.953";"586.269";Claro Serv. Empresariales;4G;Ruta 255, Sector San Gregorio S/N;;San Gregorio;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;1447;24/08/2020;Torre Ventada;"43";"700";UHF;20000;LTE(4G);FDD;52° 38´ 11´´;70° 12´ 35´´;"-70,21";"-52,636"
"27.070";"598.248";Wom;;Calle Capitan Guillermos n°5/ Antonio Kairis n° 036;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;123;23/01/2024;Azotea;"2";"2100";UHF;60000;UMTS(3G)/LTE(4G);FDD;53° 8´ 47.800000000000004´´;70° 54´ 15.9´´;"-70,904";"-53,147"
"14.965";"623.689";WILL;;ESMERALDA 1096;;Natales;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;2288;26/11/2021;Torre Auto Soportada;"24";"2600";UHF;40000;;OFDMA;51° 43´ 35´´;72° 29´ 38´´;"-72,494";"-51,726"
"16.971";"626.585";Wom;5G;Pdte. Julio Roca N° 953, Punta Arenas, Magallanes Y La Antártica Chilena;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;32;11/03/2021;Monoposte;"30";"2100";UHF;30000;LTE Advanced Pro(5G);OFDMA;53° 9´ 52´´;70° 54´ 20´´;"-70,906";"-53,164"
"14.916";"628.633";ENTEL TELEFONIA LOCAL S.A.;5G;RECINTO ENAP SECTOR CABO NEGRO, COMUNA DE PUNTA ARENAS, REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;76;24/05/2021;Torre Auto Soportada;"42";"3500";SHF;50000;5G(5G);OFDMA;52° 56´ 36´´;70° 49´ 11´´;"-70,82";"-52,943"
"14.922";"633.230";WILL;3G/5G;"Romulo    Correa
N° 1108";;Punta Arenas;Región de Magallanes y de la Antártica Chilena;RESOLUCIÓN MODIFICA CONCESIÓN SERVICIOS PÚBLICOS NOTIFICADA;526;01/03/2022;Monoposte;"30";"700";UHF;15000;UMTS(3G)/LTE Advanced Pro(5G);OFDMA;53° 9´ 17´´;70° 53´ 31´´;"-70,892";"-53,155"
